files,labels,onsets,offsets
G402_43362.23322048_9_19_6_28_42.wav.not.mat,s,370.544217687075,429.705215419501
G402_43362.23322048_9_19_6_28_42.wav.not.mat,s,525.578231292517,590.362811791383
G402_43362.23322048_9_19_6_28_42.wav.not.mat,s,774.829931972789,831.292517006803
G402_43362.23322048_9_19_6_28_42.wav.not.mat,s,894.897959183673,956.371882086168
G402_43362.23322048_9_19_6_28_42.wav.not.mat,s,1032.92517006803,1103.44671201814
G402_43362.23322048_9_19_6_28_42.wav.not.mat,s,1170,1224.69387755102
G402_43362.23322048_9_19_6_28_42.wav.not.mat,s,1251.97278911565,1310.36281179138
G402_43362.23322048_9_19_6_28_42.wav.not.mat,s,1324.82993197279,1502.15419501134
G402_43362.23322048_9_19_6_28_42.wav.not.mat,s,1539.13832199546,1628.57142857143
G402_43362.23322048_9_19_6_28_42.wav.not.mat,s,1650.68027210884,1807.05215419501
G402_43362.23349517_9_19_6_29_9.wav.not.mat,s,148.639455782313,208.934240362812
G402_43362.23349517_9_19_6_29_9.wav.not.mat,s,286.643990929705,350.657596371882
G402_43362.23349517_9_19_6_29_9.wav.not.mat,s,437.709750566893,497.755102040816
G402_43362.23349517_9_19_6_29_9.wav.not.mat,s,681.927437641723,741.950113378685
G402_43362.23349517_9_19_6_29_9.wav.not.mat,s,826.553287981859,882.358276643991
G402_43362.23349517_9_19_6_29_9.wav.not.mat,s,925.124716553288,980.725623582767
G402_43362.23349517_9_19_6_29_9.wav.not.mat,s,1004.55782312925,1068.52607709751
G402_43362.23349517_9_19_6_29_9.wav.not.mat,s,1078.16326530612,1254.62585034014
G402_43362.23349517_9_19_6_29_9.wav.not.mat,s,1289.72789115646,1381.04308390023
G402_43362.23349517_9_19_6_29_9.wav.not.mat,s,1395.73696145125,1551.49659863946
G402_43362.23349517_9_19_6_29_9.wav.not.mat,s,1599.79591836735,1695.80498866213
G402_43362.23357366_9_19_6_29_17.wav.not.mat,s,176.961451247166,235.668934240363
